report_date,country_code,platform,marketing_channel_id,is_paid_channel,spendings
2016-10-01,AD,ios,2,true,0
2016-10-01,AE,android,18,true,32.75999993272126
2016-10-01,AE,android,2,true,38.3
2016-10-01,AE,ios,18,true,26.22000009007752
2016-10-01,AE,ios,2,true,40.66
2016-10-01,AE,ios,1,false,0
2016-10-01,AE,ios,0,false,0
2016-10-01,AF,ios,9,true,0
2016-10-01,AG,android,18,true,2.2299999445676804
2016-10-01,AG,ios,18,true,0
2016-10-01,AG,ios,2,true,0.51
2016-10-01,AG,android,2,true,0.05
2016-10-01,AI,ios,2,true,0.16
2016-10-01,AI,android,2,true,0.03
2016-10-01,AI,ios,18,true,0
2016-10-01,AL,android,18,true,0.39000000059604645
2016-10-01,AM,android,18,true,0.1599999964237213
2016-10-01,AO,android,18,true,0
2016-10-01,AR,ios,18,true,10.85999995470047
2016-10-01,AR,android,18,true,32.43999956920743
2016-10-01,AR,android,2,true,101.67
2016-10-01,AR,android,1,false,0
2016-10-01,AR,android,12,false,0
2016-10-01,AR,ios,1,false,0
2016-10-01,AR,ios,2,true,27.56
2016-10-01,AR,ios,0,false,0
2016-10-01,AR,android,0,false,0
2016-10-01,AT,ios,2,true,0.02
2016-10-01,AT,ios,18,true,0
2016-10-01,AT,android,18,true,0.8999999761581421
2016-10-01,AT,android,1,false,0
2016-10-01,AT,ios,1,false,0
2016-10-01,AU,ios,18,true,116.50000023841858
2016-10-01,AU,android,18,true,135.0100003145635
2016-10-01,AU,android,0,false,0
2016-10-01,AU,ios,2,true,43.67
2016-10-01,AU,ios,1,false,0
2016-10-01,AU,android,2,true,167.28000000000003
2016-10-01,AU,android,1,false,0
2016-10-01,AU,ios,0,false,0
2016-10-01,AU,android,3,true,0
2016-10-01,AU,android,13,false,0
2016-10-01,AW,android,18,true,0.38999998569488525
2016-10-01,AW,ios,2,true,2.21
2016-10-01,AW,ios,18,true,0
2016-10-01,AW,android,2,true,0.51
2016-10-01,AZ,android,18,true,0.26000000163912773
2016-10-01,BA,android,18,true,0.3099999986588955
2016-10-01,BB,ios,2,true,1.05
2016-10-01,BB,ios,18,true,0.33000001311302185
2016-10-01,BB,android,2,true,0.1
2016-10-01,BD,android,18,true,0.09000000357627869
2016-10-01,BE,android,18,true,0.6899999901652336
2016-10-01,BE,ios,2,true,0
2016-10-01,BE,ios,18,true,0
2016-10-01,BE,ios,1,false,0
2016-10-01,BG,android,18,true,0.44999999552965164
2016-10-01,BH,ios,18,true,1.1200000047683716
2016-10-01,BH,android,18,true,2.6600000131875277
2016-10-01,BH,ios,2,true,0.29
2016-10-01,BH,android,2,true,0.61
2016-10-01,BJ,ios,1,false,0
2016-10-01,BL,ios,2,true,0
2016-10-01,BM,ios,18,true,3.509999990463257
2016-10-01,BN,ios,18,true,1.8899999856948853
2016-10-01,BN,android,2,true,0.67
2016-10-01,BN,ios,2,true,0.17
2016-10-01,BO,ios,2,true,6.91
2016-10-01,BO,android,2,true,13.12
2016-10-01,BQ,android,18,true,0.7599999904632568
2016-10-01,BR,ios,18,true,0
2016-10-01,BR,ios,1,false,0
2016-10-01,BR,ios,2,true,26.17
2016-10-01,BR,android,1,false,0
2016-10-01,BS,ios,18,true,2.030000001192093
2016-10-01,BS,android,18,true,4.959999987855554
